"filename","pr"
"__16_ny_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.003835"
"__16_ny_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.003632"
"__16_ny_PR-Push_FloatType_Reduction_Block.cpp
","0.007163"
"__16_ny_PR-Push_FloatType_Critical_Block.cpp
","0.007471"
"__16_ny_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.007173"
"__16_ny_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.053680"
"__16_ny_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.012735"
"__16_ny_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.052016"
"__16_ny_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.021421"
"__16_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.032460"
"__16_ny_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.021438"
"__16_ny_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.054505"
"__16_ny_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.035342"
"__16_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.011761"
"__16_ny_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.020985"
"__16_ny_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.034157"
"__16_ny_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.011908"
"_omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.079648"
"_omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.080537"
"_omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.079462"
"_omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.079783"
"_omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.079877"
"_omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.081313"
"_omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.080231"
"_omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.079896"
"_omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.080025"
