"filename","pr"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Thread_BlockAdd.cu
","0.626507"
"16_co_PR_CUDA_Push_FloatType_Persist_Thread_Reduction.cu
","0.604137"
"16_co_PR_CUDA_Push_FloatType_Persist_Warp_Reduction.cu
","0.792091"
"16_co_PR_CUDA_Push_FloatType_Persist_Thread_GlobalAdd.cu
","0.343651"
"16_co_PR_CUDA_Push_FloatType_Persist_Block_Reduction.cu
","0.125428"
"16_co_PR_CUDA_Push_FloatType_Persist_Block_BlockAdd.cu
","0.047924"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Thread_Reduction.cu
","0.667854"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Block_BlockAdd.cu
","0.011021"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Warp_Reduction.cu
","0.760119"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Thread_GlobalAdd.cu
","0.363652"
"16_co_PR_CUDA_Push_FloatType_Persist_Warp_GlobalAdd.cu
","0.016854"
"16_co_PR_CUDA_Push_FloatType_Persist_Block_GlobalAdd.cu
","0.001007"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Warp_GlobalAdd.cu
","0.016853"
"16_co_PR_CUDA_Push_FloatType_Persist_Warp_BlockAdd.cu
","0.140886"
"16_co_PR_CUDA_Push_FloatType_Persist_Thread_BlockAdd.cu
","0.561321"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Block_GlobalAdd.cu
","0.000871"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Warp_BlockAdd.cu
","0.177673"
"16_co_PR_CUDA_Push_FloatType_NonPersist_Block_Reduction.cu
","0.062863"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_BlockAdd.cu
","0.012947"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_GlobalAdd.cu
","0.141343"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_Reduction.cu
","1.825392"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_BlockAdd.cu
","0.001078"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_BlockAdd.cu
","0.001135"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_GlobalAdd.cu
","0.406970"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_Reduction.cu
","0.418321"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_BlockAdd.cu
","0.301406"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_GlobalAdd.cu
","0.697585"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_BlockAdd.cu
","0.106138"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_Determ_BlockAdd.cu
","0.000553"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_Determ_Reduction.cu
","0.065884"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_BlockAdd.cu
","0.014196"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_Reduction.cu
","0.357072"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_BlockAdd.cu
","0.000775"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_GlobalAdd.cu
","0.609463"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_BlockAdd.cu
","0.009478"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_GlobalAdd.cu
","0.276193"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_Reduction.cu
","0.087376"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_Reduction.cu
","1.180923"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_Reduction.cu
","1.723080"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_GlobalAdd.cu
","1.013108"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_BlockAdd.cu
","0.013651"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_GlobalAdd.cu
","0.248029"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_GlobalAdd.cu
","0.811872"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_Reduction.cu
","0.288368"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_Reduction.cu
","0.363245"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_Reduction.cu
","0.131756"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_GlobalAdd.cu
","0.601992"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_GlobalAdd.cu
","0.349412"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_Reduction.cu
","0.951283"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_BlockAdd.cu
","0.130616"
"16_co_PR_CUDA_Pull_FloatType_Persist_Block_Determ_GlobalAdd.cu
","0.297344"
"16_co_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_GlobalAdd.cu
","0.712068"
"16_co_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_BlockAdd.cu
","0.266585"
"16_co_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_Reduction.cu
","0.546805"
"16_soc_PR_CUDA_Push_FloatType_NonPersist_Thread_BlockAdd.cu
","0.167864"
"16_soc_PR_CUDA_Push_FloatType_Persist_Thread_Reduction.cu
","0.149882"
"16_soc_PR_CUDA_Push_FloatType_Persist_Warp_Reduction.cu
","0.099750"
"16_soc_PR_CUDA_Push_FloatType_Persist_Thread_GlobalAdd.cu
","0.100790"
"16_soc_PR_CUDA_Push_FloatType_Persist_Block_Reduction.cu
","0.030808"
"16_soc_PR_CUDA_Push_FloatType_Persist_Block_BlockAdd.cu
","0.014804"
"16_soc_PR_CUDA_Push_FloatType_NonPersist_Thread_Reduction.cu
","0.174116"
"16_soc_PR_CUDA_Push_FloatType_NonPersist_Block_BlockAdd.cu
","0.003515"
"16_soc_PR_CUDA_Push_FloatType_NonPersist_Warp_Reduction.cu
","0.146902"
