"filename","pr"
"_16_ny_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.003835"
"_16_ny_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.003632"
"_16_ny_PR-Push_FloatType_Reduction_Block.cpp
","0.007163"
"_16_ny_PR-Push_FloatType_Critical_Block.cpp
","0.007471"
"_16_ny_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.007173"
"_16_ny_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.053680"
"_16_ny_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.012735"
"_16_ny_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.052016"
"_16_ny_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.021421"
"_16_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.032460"
"_16_ny_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.021438"
"_16_ny_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.054505"
"_16_ny_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.035342"
"_16_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.011761"
"_16_ny_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.020985"
"_16_ny_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.034157"
"_16_ny_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.011908"
