"filename","cc"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000330"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000062"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000126"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.022830"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.001172"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000429"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000629"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000217"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000573"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000305"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000152"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000259"
"omp_32_co_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.027455"
"omp_32_co_CC_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000162"
"omp_32_co_CC_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.001892"
"omp_32_co_CC_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.001666"
"omp_32_co_CC_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000212"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000122"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000192"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","1.343475"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000249"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000451"
"omp_32_co_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.102067"
"omp_32_co_CC_OMP_V_Topo_Pull_IntType_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.040409"
"omp_32_co_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.041439"
"omp_32_co_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.639810"
"omp_32_co_CC_OMP_V_Topo_Pull_IntType_Determ_Default_NoBoundsBug_Atomic.cpp
","0.233961"
"omp_32_soc_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.000851"
"omp_32_soc_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000397"
"omp_32_soc_CC_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000076"
"omp_32_soc_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000293"
"omp_32_soc_CC_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000073"
"omp_32_soc_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.000613"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.492226"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atom
","0.000143"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.002973"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000319"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000069"
"omp_32_soc_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000158"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBou
","0.010799"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic
","0.001394"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000761"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000841"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000244"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.001160"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000427"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000162"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000277"
"omp_32_soc_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.010617"
"omp_32_soc_CC_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000195"
"omp_32_soc_CC_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.002313"
"omp_32_soc_CC_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.001598"
"omp_32_soc_CC_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000371"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.c
","0.000144"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.c
","0.000290"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.368845"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000264"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000626"
"omp_32_soc_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.049468"
"omp_32_soc_CC_OMP_V_Topo_Pull_IntType_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.017759"
"omp_32_soc_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.033652"
"omp_32_soc_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.291592"
"omp_32_soc_CC_OMP_V_Topo_Pull_IntType_Determ_Default_NoBoundsBug_Atomic.cpp
","0.129749"
